Number of elements (N);Time for OptimizedInsertionSort algorithm (ns);Time for MergeSort algorithm (ns);Time for InsertionSort algorithm (ns)
2;10199.0;16301.0;2001.0
4;2000.0;4300.0;7800.0
8;5600.0;11300.0;9500.0
16;10101.0;12499.0;11200.0
32;13399.0;20499.0;48499.0
64;45399.0;48600.0;82799.0
128;167700.0;111600.0;357900.0
256;724500.0;234800.0;1559300.0
512;2084600.0;122600.0;7078501.0
1024;2196199.0;262601.0;3816799.0
2048;2005701.0;543000.0;1.14028E7
4096;3570999.0;1340000.0;9366499.0
8192;1.88135E7;1282200.0;3.9402401E7
16384;4.1900101E7;2378900.0;1.494552E8
32768;2.112264E8;5919701.0;6.15873601E8
65536;9.305839E8;1.1240301E7;2.124140499E9
