Number of elements (N),Time for MergeSort(with NO Cut off) algorithm (ns),Time for MergeSort(with Cut off =5) algorithm (ns),Time for MergeSort(with Cut off =10) algorithm (ns)
100,31848.0,21322.0,152908.0
200,66696.0,26088.0,32842.0
400,61520.0,67016.0,52566.0
800,106810.0,118164.0,114810.0
1600,298104.0,189410.0,203880.0
3200,430342.0,725900.0,399674.0
6400,839652.0,1088590.0,840734.0
12800,2835746.0,2058086.0,2011990.0
25600,3368428.0,3080048.0,3009650.0
51200,7011576.0,1.4512542E7,1.533819E7
102400,1.2569714E7,1.164202E7,1.046823E7
204800,2.1914064E7,2.2249658E7,2.2835182E7
409600,4.475813E7,4.4827562E7,4.5334306E7
819200,9.2095116E7,1.03293632E8,8.3029658E7
