Number of elements (N),Time for MergeSort(with NO Cut off) algorithm (ns),Time for MergeSort(with Cut off =5) algorithm (ns),Time for MergeSort(with Cut off =10) algorithm (ns),Time for MergeSort(with Cut off =15) algorithm (ns),Time for MergeSort(with Cut off =20) algorithm (ns),Time for MergeSort(with Cut off =25) algorithm (ns),Time for MergeSort(with Cut off =30) algorithm (ns),Time for MergeSort(with Cut off =300) algorithm (ns)
100,31038.0,14922.0,157338.0,12274.0,11880.0,11994.0,20302.0,11994.0
200,23746.0,25250.0,29740.0,49236.0,22906.0,22974.0,34794.0,23568.0
400,219086.0,119270.0,42430.0,36366.0,28032.0,26544.0,27146.0,27382.0
800,58352.0,57362.0,71990.0,58060.0,58656.0,58976.0,63332.0,60828.0
1600,145956.0,174110.0,139366.0,150368.0,146514.0,155068.0,174234.0,143212.0
3200,329692.0,425320.0,313586.0,332146.0,326456.0,370732.0,395090.0,327646.0
6400,758812.0,909922.0,1082058.0,868570.0,835636.0,876706.0,993046.0,846590.0
12800,1433652.0,1757362.0,1505546.0,1271910.0,1475262.0,1556668.0,1537584.0,1575208.0
25600,8415870.0,6702638.0,6236388.0,5221598.0,4525930.0,3035704.0,2315038.0,2272646.0
51200,4680818.0,4520086.0,4433002.0,4651556.0,4624844.0,4709906.0,4599138.0,4584474.0
102400,9483888.0,9176134.0,9040828.0,9306438.0,9576758.0,9546448.0,9531248.0,9078816.0
204800,2.0179208E7,2.1138884E7,2.05098E7,2.1771442E7,2.0812198E7,2.230005E7,2.1318784E7,1.9263136E7
409600,4.2598772E7,4.053024E7,4.1171088E7,4.08021E7,3.922956E7,4.1704892E7,4.3602946E7,4.049848E7
819200,8.5793554E7,9.6310958E7,1.06270388E8,1.01954568E8,1.08266782E8,8.3071208E7,7.9000646E7,7.916374E7
