Number of elements (N),MergeSort(with NO Cut off) (ns),MergeSort(with Cut off =5) (ns),MergeSort(with Cut off =10) (ns),MergeSort(with Cut off =15) (ns),MergeSort(with Cut off =20) (ns),MergeSort(with Cut off =25) (ns),MergeSort(with Cut off =30) (ns),MergeSort(with Cut off =300) (ns)
250,191400.0,67040.0,83600.0,57920.0,52040.0,60260.0,66340.0,65740.0
500,127560.0,120000.0,120420.0,112380.0,115280.0,127680.0,119380.0,117880.0
1000,828620.0,144300.0,205940.0,145440.0,164300.0,140400.0,148800.0,126080.0
2000,2259180.0,268180.0,273120.0,275020.0,297040.0,644040.0,284600.0,276220.0
4000,711260.0,590560.0,582200.0,567640.0,518180.0,518160.0,501320.0,521360.0
8000,1253740.0,1104280.0,956140.0,893680.0,810800.0,974360.0,1008540.0,1042200.0
16000,1930460.0,1844360.0,1803240.0,1910040.0,1839740.0,1959380.0,1931400.0,1703740.0
32000,3861780.0,3629160.0,4299160.0,4100720.0,3913920.0,4202060.0,6393920.0,4297860.0
64000,8399100.0,9154800.0,8013200.0,8886160.0,7334080.0,7737200.0,9479780.0,8271780.0
128000,1.624242E7,1.592514E7,1.542596E7,1.639018E7,1.588724E7,1.615872E7,1.811406E7,2.966046E7
256000,4.998102E7,4.115076E7,3.138198E7,2.776106E7,2.61957E7,2.59035E7,2.619146E7,2.713316E7
512000,5.661116E7,5.152964E7,5.00744E7,5.187802E7,5.088074E7,5.140276E7,5.162574E7,5.164436E7
